step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,rollout.reward/grade,test_set/mean_reward
1,2.0679287910461426,0.6231883764266968,,1.614591179824457,0.7317073170731707,,,,,,
2,1.4850913286209106,0.698630154132843,,1.5728301799043696,0.7659574468085106,,,,,,
3,1.4380558729171753,0.7843137383460999,,1.2923659554010705,0.7848101265822784,,,,,,
4,1.6280865669250488,0.7088607549667358,,1.3465683243491433,0.75,,,,,,
5,1.7861840724945068,0.7457627058029175,,1.3903231969693812,0.7682926829268293,,,,,,
6,1.8850972652435303,0.6721311211585999,,1.5526215926460598,0.6956521739130435,,,,,,
7,1.7138701677322388,0.7123287916183472,,1.6463539751270149,0.7215189873417721,,,,,,
8,1.490221619606018,0.7916666865348816,,1.3031797910991467,0.7631578947368421,,,,,,
9,1.100817322731018,0.8024691343307495,,1.4201910495758057,0.75,,,,,,
10,1.6504212617874146,0.6966292262077332,,1.5670812479654948,0.7466666666666667,,,,,,
11,1.647898554801941,0.698630154132843,,1.5739674287683822,0.75,,,,,,
12,1.4236067533493042,0.7553191781044006,,1.3309982963230298,0.7391304347826086,,,,,,
13,1.1638785600662231,0.7916666865348816,,1.3851784070332844,0.7857142857142857,,,,,,
14,1.1519266366958618,0.7631579041481018,,1.3971802245738894,0.7674418604651163,,,,,,
15,1.438035488128662,0.6976743936538696,,1.2280884767190003,0.7564102564102564,,,,,,
16,1.2665865421295166,0.7230769395828247,,1.5786385536193848,0.7333333333333333,,,,,,
17,1.3530281782150269,0.7415730357170105,,1.4763212061640043,0.7761194029850746,,,,,,
18,1.0447546243667603,0.7922077775001526,,1.1903213640538657,0.7560975609756098,,,,,,
19,1.1840876340866089,0.7368420958518982,,1.6242416381835938,0.6266666666666667,,,,,,
20,1.0723602771759033,0.7631579041481018,,0.9909809580389058,0.7735849056603774,,,,,,
21,1.3363227844238281,0.7088607549667358,,1.1277448551074878,0.7837837837837838,,,,,,
22,1.3362088203430176,0.7108433842658997,,1.062922529272131,0.7027027027027027,,,,,,
23,0.9885892271995544,0.7849462628364563,,0.9702932487413721,0.7378640776699029,,,,,,
24,1.1406983137130737,0.7307692170143127,,0.8379110608782087,0.7653061224489796,,,,,,
25,1.528749942779541,0.800000011920929,,1.0987183362588115,0.7471264367816092,,,,,,
26,1.145113229751587,0.7428571581840515,,0.9609916870852551,0.7590361445783133,,,,,,
27,0.8948073387145996,0.7567567825317383,,1.016532114107315,0.7397260273972602,,,,,,
28,1.0516101121902466,0.6962025165557861,,1.1249145722725022,0.7464788732394366,,,,,,
29,0.9586803913116455,0.7317073345184326,,0.8659328592234644,0.7068965517241379,,,,,,
30,0.9224062561988831,0.7654321193695068,,0.7519512610001997,0.7954545454545454,,,,,,
31,0.849806010723114,0.7669903039932251,,0.5654872756406485,0.8072289156626506,,,,,,
32,0.8272120952606201,0.7397260069847107,,1.0623179875063093,0.7415730337078652,,,,,,
33,0.743520200252533,0.7634408473968506,,0.8149135489212839,0.7368421052631579,,,,,,
34,0.7445247769355774,0.7945205569267273,,0.7420504286482528,0.7567567567567568,,,,,,
35,0.7508667707443237,0.7749999761581421,,0.8345566031373577,0.7160493827160493,,,,,,
36,0.80914306640625,0.7777777910232544,,0.5112767387838925,0.788235294117647,,,,,,
37,0.5129136443138123,0.8461538553237915,,0.6418772711270098,0.782608695652174,,,,,,
38,0.38326889276504517,0.875,,0.6237741553265116,0.8115942028985508,,,,,,
39,0.41621026396751404,0.8333333134651184,,0.5429433496986947,0.8292682926829268,,,,,,
40,0.5831333994865417,0.8032786846160889,,0.6719285400820451,0.8028169014084507,,,,,,
41,0.6022782325744629,0.7654321193695068,,0.7438056092513236,0.7894736842105263,,,,,,
42,0.6834850311279297,0.800000011920929,,0.7452424199957597,0.7368421052631579,,,,,,
43,0.6989615559577942,0.7727272510528564,,0.30787556966145835,0.8888888888888888,,,,,,
44,0.8420074582099915,0.7714285850524902,,0.6294879913330078,0.810126582278481,,,,,,
45,0.5608155727386475,0.8369565010070801,,0.7442999972572809,0.7721518987341772,,,,,,
46,0.5001869797706604,0.8666666746139526,,0.5709106863998785,0.8048780487804879,,,,,,
47,0.7457782030105591,0.7777777910232544,,0.9315649750944855,0.6623376623376623,,,,,,
48,0.6154905557632446,0.8255813717842102,,0.6959174371534779,0.7741935483870968,,,,,,
49,0.5625095963478088,0.8170731663703918,,0.6103140513102213,0.8111111111111111,,,,,,
50,0.714999258518219,0.862500011920929,,0.5299497558957055,0.8095238095238095,,,,,,
51,0.6447659730911255,0.7820512652397156,,0.635776209276776,0.8255813953488372,,,,,,
52,0.595723032951355,0.7605633735656738,,0.4804148735938134,0.8311688311688312,,,,,,
53,0.40074509382247925,0.8840579986572266,,1.1795835625635434,0.726027397260274,,,,,,
54,0.5721549391746521,0.8067227005958557,,0.3763216217951988,0.8656716417910447,,,,,,
55,0.8967368602752686,0.6190476417541504,,0.40052016576131183,0.8452380952380952,,,,,,
56,0.792229413986206,0.738095223903656,,0.37936922561290654,0.8488372093023255,,,,,,
57,0.43204134702682495,0.8172042965888977,,0.559734886342829,0.8068181818181818,,,,,,
58,0.579761266708374,0.8072289228439331,,0.7068968017896017,0.75,,,,,,
59,0.6249951124191284,0.8493150472640991,,0.5668606544608501,0.7761194029850746,,,,,,
60,0.5585632920265198,0.8085106611251831,,0.5930297901104022,0.7922077922077922,,,,,,
61,0.5612236261367798,0.8470588326454163,,0.5208190202713012,0.8375,,,,,,
62,0.5160068869590759,0.8539325594902039,,0.9023399897984096,0.7285714285714285,,,,,,
63,0.6447657942771912,0.8064516186714172,,0.846735256821362,0.7313432835820896,,,,,,
64,0.541858971118927,0.7882353067398071,,0.6318697690963745,0.8,,,,,,
65,0.8338683843612671,0.7411764860153198,,0.5658685344539277,0.7945205479452054,,,,,,
66,0.536915123462677,0.795918345451355,,0.5544801900084589,0.8169014084507042,,,,,,
